id,s,i,r,d,population,long,lat,date
GB,BS,1.0,
GB,SG,4.0,
GB,LY,3.0,
GB,IL,6.0,
GB,BD,2.0,
GB,LV,7.0,
GB,TT,1.0,
GB,ET,1.0,
GB,IS,10.0,
GB,SK,6.0,
GB,LT,10.0,
GB,EE,3.0,
GB,ME,2.0,
GB,UZ,1.0,
GB,IR,1.0,
GB,RS,3.0,
GB,PK,7.0,
GB,PH,1.0,
GB,QA,4.0,
GB,TN,22.0,
GB,CU,2.0,
GB,DO,3.0,
GB,SI,2.0,
GB,LK,1.0,
GB,MK,1.0,
GB,OM,1.0,
CN,SG,45.0,
CN,CN,6877.0,
CN,TH,73.0,
CN,AU,17.0,
CN,TW,189.0,
CN,KR,152.0,
CN,VN,23.0,
CN,CA,12.0,
CN,PH,13.0,
CN,BU,8.0,
CN,MY,29.0,
CN,JP,140.0,
CN,KH,11.0,
CN,US,58.0,
CN,DE,19.0,
CN,FR,10.0,
CN,DZ,1.0,
CN,IN,6.0,
CN,MX,1.0,
CN,FI,6.0,
CN,AE,14.0,
CN,IT,5.0,
CN,GB,11.0,
CN,ET,6.0,
CN,EG,4.0,
CN,TR,7.0,
CN,PK,4.0,
CN,NP,4.0,
CN,RU,46.0,
CN,SE,2.0,
CN,DK,3.0,
CN,CH,3.0,
CN,ZA,2.0,
CN,ES,2.0,
CN,IL,2.0,
CN,MN,4.0,
CN,AT,2.0,
CN,PL,2.0,
CN,NZ,3.0,
CN,ID,13.0,
CN,NL,13.0,
CN,BD,2.0,
CN,MV,4.0,
CN,KE,2.0,
CN,UZ,4.0,
CN,KZ,7.0,
CN,AZ,2.0,
CN,IR,4.0,
CN,GE,1.0,
CN,AO,1.0,
CN,BE,2.0,
CN,MU,2.0,
CN,LK,3.0,
CN,LA,5.0,
CN,QA,6.0,
CN,SA,2.0,
NL,MA,10.0,
NL,DE,25.0,
NL,FR,34.0,
NL,GE,2.0,
NL,GB,54.0,
NL,US,39.0,
NL,DK,11.0,
NL,AE,10.0,
NL,SA,3.0,
NL,QA,3.0,
NL,ZW,3.0,
NL,TZ,3.0,
NL,RW,3.0,
NL,MY,3.0,
NL,KW,3.0,
NL,TW,2.0,
NL,EC,2.0,
NL,IT,42.0,
NL,FI,4.0,
NL,PT,23.0,
NL,NO,15.0,
NL,SE,7.0,
NL,ZA,3.0,
NL,PE,2.0,
NL,KE,3.0,
NL,PA,2.0,
NL,BY,1.0,
NL,TH,3.0,
NL,LV,3.0,
NL,CY,3.0,
NL,CN,13.0,
NL,IN,3.0,
NL,CA,10.0,
NL,IE,4.0,
NL,RS,3.0,
NL,BG,2.0,
NL,IS,1.0,
NL,ES,68.0,
NL,GR,21.0,
NL,PL,9.0,
NL,MT,3.0,
NL,TR,24.0,
NL,IQ,1.0,
NL,AT,5.0,
NL,IL,4.0,
NL,NL,4.0,
NL,HU,4.0,
NL,CZ,5.0,
NL,HR,3.0,
NL,IR,1.0,
NL,SI,1.0,
NL,KZ,2.0,
NL,KR,2.0,
NL,GH,1.0,
NL,BE,1.0,
NL,EG,2.0,
NL,AR,1.0,
NL,JP,3.0,
NL,BR,2.0,
NL,CH,6.0,
NL,CU,3.0,
NL,UA,2.0,
NL,AO,1.0,
NL,RU,4.0,
NL,NG,1.0,
NL,LU,1.0,
NL,MX,1.0,
NL,RO,4.0,
NL,SR,2.0,
NL,SG,2.0,
NL,EE,2.0,
NL,DO,2.0,
NL,JO,1.0,
NL,TN,1.0,
NL,MK,1.0,
NL,LT,1.0,
AU,SG,42.0,
AU,CN,17.0,
AU,AU,776.0,
AU,NZ,77.0,
AU,US,26.0,
AU,CA,1.0,
AU,IN,2.0,
AU,AE,16.0,
AU,TW,3.0,
AU,PG,9.0,
AU,MY,14.0,
AU,TH,14.0,
AU,ID,26.0,
AU,FJ,11.0,
AU,JP,15.0,
AU,KR,5.0,
AU,CL,2.0,
AU,MU,1.0,
AU,PH,4.0,
AU,VN,4.0,
AU,ZA,4.0,
AU,QA,2.0,
DK,DK,23.0,
DK,GR,7.0,
DK,GB,22.0,
DK,DE,26.0,
DK,ES,31.0,
DK,AT,5.0,
DK,NL,11.0,
DK,NO,30.0,
DK,LT,3.0,
DK,PL,7.0,
DK,CA,3.0,
DK,FR,12.0,
DK,IT,21.0,
DK,MA,2.0,
DK,FI,4.0,
DK,SE,9.0,
DK,BE,5.0,
DK,CH,7.0,
DK,LV,4.0,
DK,CN,3.0,
DK,BG,1.0,
DK,HU,3.0,
DK,IE,3.0,
DK,PT,5.0,
DK,US,7.0,
DK,MT,2.0,
DK,CZ,4.0,
DK,HR,6.0,
DK,IL,2.0,
DK,AE,2.0,
DK,IS,4.0,
DK,BA,1.0,
DK,SI,2.0,
DK,RS,2.0,
DK,LU,2.0,
DK,EG,2.0,
DK,EE,2.0,
DK,TR,10.0,
DK,PK,1.0,
DK,QA,1.0,
DK,TH,2.0,
DK,RU,3.0,
DK,JP,1.0,
DK,RO,1.0,
DK,SG,2.0,
FR,CH,21.0,
FR,MA,79.0,
FR,EG,5.0,
FR,DE,84.0,
FR,IL,9.0,
FR,TR,26.0,
FR,MD,1.0,
FR,GR,32.0,
FR,FR,483.0,
FR,IT,149.0,
FR,NL,33.0,
FR,BE,36.0,
FR,SE,18.0,
FR,CZ,16.0,
FR,GE,2.0,
FR,GB,157.0,
FR,US,91.0,
FR,MY,3.0,
FR,ES,149.0,
FR,AT,13.0,
FR,CA,19.0,
FR,CI,3.0,
FR,NG,4.0,
FR,DZ,68.0,
FR,JO,2.0,
FR,AE,7.0,
FR,RS,4.0,
FR,LB,2.0,
FR,CF,1.0,
FR,TH,3.0,
FR,ML,2.0,
FR,DK,12.0,
FR,IN,4.0,
FR,CO,1.0,
FR,BR,4.0,
FR,HU,5.0,
FR,CN,10.0,
FR,VE,1.0,
FR,GN,1.0,
FR,BJ,1.0,
FR,SN,3.0,
FR,CM,4.0,
FR,IE,23.0,
FR,AM,3.0,
FR,AR,2.0,
FR,AZ,2.0,
FR,VN,6.0,
FR,CU,2.0,
FR,FI,6.0,
FR,JP,7.0,
FR,KR,3.0,
FR,SA,4.0,
FR,DJ,1.0,
FR,ZA,2.0,
FR,UA,3.0,
FR,AO,1.0,
FR,GA,1.0,
FR,CY,3.0,
FR,RU,11.0,
FR,TG,1.0,
FR,PE,2.0,
FR,PT,53.0,
FR,SI,2.0,
FR,LU,7.0,
FR,MX,4.0,
FR,MT,11.0,
FR,MU,2.0,
FR,KE,2.0,
FR,TD,1.0,
FR,NE,3.0,
FR,MR,1.0,
FR,NO,15.0,
FR,RO,7.0,
FR,BF,1.0,
FR,PA,1.0,
FR,DO,5.0,
FR,LV,3.0,
FR,LR,2.0,
FR,CL,2.0,
FR,SG,2.0,
FR,BG,3.0,
FR,MG,3.0,
FR,TN,45.0,
FR,PL,15.0,
FR,HR,12.0,
FR,BY,2.0,
FR,TW,1.0,
FR,ET,1.0,
FR,IS,4.0,
FR,SK,1.0,
FR,LT,3.0,
FR,BH,1.0,
FR,UZ,2.0,
FR,IR,1.0,
FR,EE,1.0,
FR,PK,2.0,
FR,AG,2.0,
FR,QA,1.0,
FR,HT,1.0,
FR,LK,1.0,
FR,OM,1.0,
FR,ME,2.0,
AF,IN,7.0,
AF,PK,4.0,
AF,AF,14.0,
AF,AE,7.0,
AF,IR,5.0,
AF,TR,3.0,
AF,AZ,1.0,
AF,KW,1.0,
AL,GR,2.0,
AL,IT,27.0,
AL,GB,1.0,
AL,DE,2.0,
AL,SI,1.0,
AL,AT,1.0,
AL,TR,2.0,
DZ,DE,3.0,
DZ,FR,68.0,
DZ,DZ,86.0,
DZ,TR,6.0,
DZ,CI,1.0,
DZ,ES,14.0,
DZ,JO,2.0,
DZ,LB,1.0,
DZ,ML,1.0,
DZ,BE,1.0,
DZ,EG,2.0,
DZ,MA,3.0,
DZ,SN,1.0,
DZ,AE,2.0,
DZ,IT,4.0,
DZ,CH,1.0,
DZ,GB,3.0,
DZ,PT,2.0,
DZ,NE,1.0,
DZ,BF,1.0,
DZ,CN,1.0,
DZ,RU,1.0,
DZ,LY,2.0,
DZ,TN,3.0,
DZ,AT,1.0,
DZ,CA,1.0,
DZ,MT,1.0,
DZ,QA,1.0,
DZ,SA,2.0,
AO,FR,1.0,
AO,MA,1.0,
AO,GB,2.0,
AO,AO,45.0,
AO,ZA,3.0,
AO,AE,2.0,
AO,BR,2.0,
AO,CU,1.0,
AO,ZW,1.0,
AO,PT,3.0,
AO,CN,1.0,
AO,NA,3.0,
AO,ET,2.0,
AO,ES,1.0,
AO,NL,1.0,
AO,KE,1.0,
AO,DE,1.0,
AO,MZ,1.0,
AG,US,7.0,
AG,CA,2.0,
AG,GB,3.0,
AG,DO,3.0,
AG,TT,2.0,
AG,BB,2.0,
AG,JM,1.0,
AG,DE,1.0,
AG,DM,1.0,
AG,FR,2.0,
AR,US,10.0,
AR,DO,1.0,
AR,UY,9.0,
AR,AR,166.0,
AR,CL,9.0,
AR,FR,2.0,
AR,MX,2.0,
AR,PY,4.0,
AR,BR,28.0,
AR,ES,4.0,
AR,CO,2.0,
AR,VE,2.0,
AR,IT,2.0,
AR,PE,4.0,
AR,BO,2.0,
AR,GB,1.0,
AR,PA,2.0,
AR,CU,1.0,
AR,NL,1.0,
AR,EC,1.0,
AR,DE,1.0,
AM,RU,27.0,
AM,FR,3.0,
AM,IT,1.0,
AM,BY,1.0,
AM,KZ,1.0,
AM,IR,1.0,
AM,AE,2.0,
AM,PL,1.0,
AM,LB,1.0,
AM,CZ,2.0,
AM,AT,3.0,
AM,UA,2.0,
AM,GR,1.0,
AT,CH,12.0,
AT,DE,67.0,
AT,GR,36.0,
AT,GE,2.0,
AT,GB,11.0,
AT,ES,40.0,
AT,FR,13.0,
AT,AT,15.0,
AT,JO,3.0,
AT,SE,4.0,
AT,DK,5.0,
AT,IT,28.0,
AT,PT,6.0,
AT,FI,2.0,
AT,CY,3.0,
AT,MT,4.0,
AT,CA,3.0,
AT,DZ,1.0,
AT,IN,2.0,
AT,BY,2.0,
AT,TH,3.0,
AT,LV,2.0,
AT,CN,2.0,
AT,TW,1.0,
AT,NO,2.0,
AT,IE,1.0,
AT,AE,2.0,
AT,BG,3.0,
AT,TR,19.0,
AT,EG,6.0,
AT,RU,13.0,
AT,IL,3.0,
AT,NL,5.0,
AT,IR,2.0,
AT,AZ,2.0,
AT,SI,2.0,
AT,RS,3.0,
AT,KZ,2.0,
AT,LU,2.0,
AT,PL,4.0,
AT,JP,2.0,
AT,BE,2.0,
AT,HU,1.0,
AT,RO,8.0,
AT,HR,6.0,
AT,UA,10.0,
AT,IQ,1.0,
AT,AM,3.0,
AT,US,6.0,
AT,MD,1.0,
AT,SK,1.0,
AT,CZ,1.0,
AT,BA,1.0,
AT,MK,1.0,
AT,ME,2.0,
AT,AL,1.0,
AT,LT,1.0,
AT,QA,1.0,
AT,TN,1.0,
AZ,RU,21.0,
AZ,FR,2.0,
AZ,IT,4.0,
AZ,BY,1.0,
AZ,GB,2.0,
AZ,LV,2.0,
AZ,CN,2.0,
AZ,KZ,4.0,
AZ,AF,1.0,
AZ,AE,2.0,
AZ,UZ,1.0,
AZ,IR,3.0,
AZ,QA,2.0,
AZ,TR,6.0,
AZ,DE,3.0,
AZ,UA,3.0,
AZ,AZ,3.0,
AZ,CZ,2.0,
AZ,GE,2.0,
AZ,IL,1.0,
AZ,AT,2.0,
AZ,HU,1.0,
BS,US,72.0,
BS,BS,62.0,
BS,CA,3.0,
BS,GB,1.0,
BS,JM,1.0,
BS,PA,1.0,
BS,CU,2.0,
BH,IN,7.0,
BH,QA,10.0,
BH,GB,4.0,
BH,AE,16.0,
BH,ET,1.0,
BH,JO,2.0,
BH,LB,1.0,
BH,IQ,2.0,
BH,TH,3.0,
BH,EG,2.0,
BH,FR,1.0,
BH,SA,8.0,
BH,DE,1.0,
BH,IR,3.0,
BH,PK,6.0,
BH,TR,2.0,
BH,SD,1.0,
BH,KW,4.0,
BH,CY,1.0,
BH,OM,3.0,
BH,PH,2.0,
BH,LK,2.0,
BD,BD,33.0,
BD,IN,12.0,
BD,OM,5.0,
BD,TH,7.0,
BD,AE,9.0,
BD,SA,7.0,
BD,NP,4.0,
BD,MY,6.0,
BD,QA,2.0,
BD,IT,1.0,
BD,KW,2.0,
BD,GB,1.0,
BD,BU,1.0,
BD,SG,4.0,
BD,CN,2.0,
BD,BT,1.0,
BD,LK,2.0,
BD,PK,1.0,
BD,TR,1.0,
BB,US,3.0,
BB,CA,2.0,
BB,GB,5.0,
BB,AG,2.0,
BB,JM,1.0,
BB,TT,1.0,
BB,DE,1.0,
BB,BR,1.0,
BB,DM,1.0,
BB,GD,1.0,
BB,GY,1.0,
BY,FI,2.0,
BY,RU,12.0,
BY,NL,1.0,
BY,SE,1.0,
BY,AE,2.0,
BY,ES,1.0,
BY,LB,1.0,
BY,HU,1.0,
BY,GE,3.0,
BY,FR,2.0,
BY,AM,1.0,
BY,IT,2.0,
BY,DE,4.0,
BY,CH,1.0,
BY,AZ,1.0,
BY,IR,1.0,
BY,TR,2.0,
BY,UA,2.0,
BY,CY,1.0,
BY,GB,1.0,
BY,CZ,2.0,
BY,LV,2.0,
BY,IL,1.0,
BY,KZ,1.0,
BY,AT,2.0,
BY,LT,1.0,
BY,PL,2.0,
BE,MA,22.0,
BE,DE,15.0,
BE,IN,4.0,
BE,US,21.0,
BE,CA,7.0,
BE,GR,20.0,
BE,FR,37.0,
BE,GB,17.0,
BE,BI,4.0,
BE,BJ,4.0,
BE,SN,5.0,
BE,CM,9.0,
BE,RW,5.0,
BE,AO,4.0,
BE,BF,4.0,
BE,DZ,1.0,
BE,ES,57.0,
BE,FI,1.0,
BE,PT,18.0,
BE,IT,44.0,
BE,DK,5.0,
BE,AE,3.0,
BE,LV,2.0,
BE,LT,5.0,
BE,IE,3.0,
BE,BG,4.0,
BE,IS,1.0,
BE,SK,1.0,
BE,HU,3.0,
BE,PL,6.0,
BE,SE,7.0,
BE,CY,2.0,
BE,HR,5.0,
BE,NO,3.0,
BE,ME,2.0,
BE,TR,8.0,
BE,TN,4.0,
BE,BE,1.0,
BE,CH,6.0,
BE,CN,2.0,
BE,SI,3.0,
BE,RS,2.0,
BE,NL,1.0,
BE,MT,2.0,
BE,CI,3.0,
BE,SL,3.0,
BE,IL,2.0,
BE,LB,1.0,
BE,EG,2.0,
BE,CZ,4.0,
BE,AT,2.0,
BE,EE,2.0,
BE,UA,2.0,
BE,QA,1.0,
BE,RO,4.0,
BE,TH,2.0,
BE,RU,2.0,
BE,MK,1.0,
BZ,GT,2.0,
BZ,MX,2.0,
BZ,HN,2.0,
BZ,BZ,4.0,
BZ,US,10.0,
BZ,SV,1.0,
BJ,TG,3.0,
BJ,BF,1.0,
BJ,CI,8.0,
BJ,FR,1.0,
BJ,NG,3.0,
BJ,GQ,2.0,
BJ,ML,3.0,
BJ,GA,3.0,
BJ,SN,2.0,
BJ,CM,4.0,
BJ,ET,1.0,
BJ,NE,1.0,
BJ,GH,1.0,
BJ,KE,1.0,
BT,IN,3.0,
BT,BD,1.0,
BT,NP,1.0,
BO,BO,81.0,
BO,US,2.0,
BO,PE,8.0,
BO,AR,2.0,
BO,CO,1.0,
BO,PA,1.0,
BO,BR,2.0,
BO,CL,3.0,
BO,ES,2.0,
BO,PY,2.0,
BA,DE,4.0,
BA,SE,3.0,
BA,IT,1.0,
BA,BA,2.0,
BA,CH,1.0,
BA,RS,3.0,
BA,DK,1.0,
BA,TR,4.0,
BA,SI,1.0,
BA,AT,1.0,
BA,HR,1.0,
BW,BW,8.0,
BW,ZA,9.0,
BW,ZW,2.0,
BW,ZM,1.0,
BW,KE,1.0,
BW,NA,1.0,
BR,BR,1195.0,
BR,UY,9.0,
BR,US,58.0,
BR,CA,2.0,
BR,FR,4.0,
BR,MX,2.0,
BR,AR,29.0,
BR,MA,1.0,
BR,CO,4.0,
BR,PE,10.0,
BR,IT,4.0,
BR,GB,3.0,
BR,ES,8.0,
BR,PA,7.0,
BR,DE,8.0,
BR,DO,4.0,
BR,AO,2.0,
BR,AE,3.0,
BR,EC,1.0,
BR,TG,1.0,
BR,PY,5.0,
BR,BB,1.0,
BR,VE,3.0,
BR,BO,3.0,
BR,CL,6.0,
BR,ZA,2.0,
BR,NL,2.0,
BR,CH,1.0,
BR,SR,1.0,
BR,QA,1.0,
BR,TR,1.0,
BR,PT,12.0,
BG,GR,4.0,
BG,GB,10.0,
BG,DE,11.0,
BG,FR,3.0,
BG,IT,7.0,
BG,CY,4.0,
BG,DK,1.0,
BG,FI,1.0,
BG,NO,1.0,
BG,IE,1.0,
BG,RU,8.0,
BG,BG,6.0,
BG,ES,8.0,
BG,NL,2.0,
BG,BE,4.0,
BG,RO,3.0,
BG,CZ,2.0,
BG,IL,2.0,
BG,AT,3.0,
BG,PL,2.0,
BG,CH,1.0,
BG,RS,2.0,
BG,LU,1.0,
BG,TR,1.0,
BG,AE,1.0,
BF,CI,8.0,
BF,BF,2.0,
BF,GH,1.0,
BF,ML,3.0,
BF,BJ,1.0,
BF,SN,1.0,
BF,TG,2.0,
BF,NE,7.0,
BF,BE,4.0,
BF,FR,1.0,
BF,DZ,1.0,
BF,MA,1.0,
BF,ET,1.0,
BF,TR,1.0,
BF,TN,1.0,
BU,SG,6.0,
BU,BU,63.0,
BU,TH,12.0,
BU,CN,8.0,
BU,KR,3.0,
BU,MY,3.0,
BU,KH,1.0,
BU,IN,1.0,
BU,BD,1.0,
BU,TW,1.0,
BU,JP,1.0,
BU,QA,1.0,
BU,VN,2.0,
BI,KE,6.0,
BI,RW,6.0,
BI,UG,1.0,
KH,SG,9.0,
KH,PH,1.0,
KH,BU,1.0,
KH,CN,10.0,
KH,VN,14.0,
KH,MY,4.0,
KH,TW,3.0,
KH,KR,8.0,
KH,TH,8.0,
KH,KH,7.0,
KH,LA,5.0,
CM,SN,1.0,
CM,NG,2.0,
CM,BE,9.0,
CM,FR,4.0,
CM,GQ,5.0,
CM,CF,2.0,
CM,MA,2.0,
CM,CM,19.0,
CM,BJ,4.0,
CM,ET,2.0,
CM,TG,1.0,
CM,TD,3.0,
CM,GA,5.0,
CM,CI,1.0,
CM,KE,2.0,
CM,TR,1.0,
CF,CM,2.0,
CF,MA,1.0,
TD,FR,1.0,
TD,NG,2.0,
TD,ET,1.0,
TD,CM,3.0,
TD,NE,1.0,
TD,TR,1.0,
CL,CL,97.0,
CL,UY,2.0,
CL,US,10.0,
CL,PE,7.0,
CL,AR,10.0,
CL,CA,1.0,
CL,FR,2.0,
CL,MX,3.0,
CL,CO,2.0,
CL,PA,1.0,
CL,BO,3.0,
CL,BR,6.0,
CL,ES,2.0,
CL,NZ,2.0,
CL,PY,2.0,
CL,VE,1.0,
CL,EC,2.0,
CL,DO,1.0,
CL,AU,2.0,
CO,EC,11.0,
CO,MX,6.0,
CO,CO,233.0,
CO,US,49.0,
CO,CA,2.0,
CO,FR,1.0,
CO,AR,2.0,
CO,ES,5.0,
CO,VE,5.0,
CO,DE,2.0,
CO,BR,4.0,
CO,GT,1.0,
CO,CU,3.0,
CO,PE,4.0,
CO,BO,1.0,
CO,PA,10.0,
CO,DO,3.0,
CO,SV,3.0,
CO,CL,2.0,
CO,CR,1.0,
CR,MX,3.0,
CR,CR,55.0,
CR,PA,7.0,
CR,NI,3.0,
CR,US,36.0,
CR,CA,3.0,
CR,SV,2.0,
CR,CO,1.0,
CR,GT,4.0,
CR,PE,1.0,
CR,HN,5.0,
CR,DO,1.0,
CR,ES,1.0,
CI,BF,8.0,
CI,BE,4.0,
CI,FR,3.0,
CI,DZ,1.0,
CI,MA,1.0,
CI,BJ,3.0,
CI,SN,3.0,
CI,GH,7.0,
CI,SL,1.0,
CI,LR,1.0,
CI,GN,2.0,
CI,TG,5.0,
CI,NG,4.0,
CI,ML,2.0,
CI,CM,1.0,
CI,GA,1.0,
CI,KE,1.0,
CI,TR,1.0,
CI,TN,1.0,
HR,DE,55.0,
HR,GB,35.0,
HR,FR,12.0,
HR,FI,3.0,
HR,SE,9.0,
HR,NO,9.0,
HR,DK,6.0,
HR,IE,3.0,
HR,BE,5.0,
HR,NL,3.0,
HR,ES,5.0,
HR,PL,3.0,
HR,LU,1.0,
HR,CH,8.0,
HR,CZ,2.0,
HR,AT,6.0,
HR,HR,22.0,
HR,GR,2.0,
HR,IT,5.0,
HR,RS,2.0,
HR,TR,2.0,
HR,BA,1.0,
HR,MK,1.0,
HR,EE,1.0,
HR,HU,1.0,
HR,RU,2.0,
CU,MX,8.0,
CU,DE,4.0,
CU,CA,29.0,
CU,FR,2.0,
CU,CO,3.0,
CU,IT,5.0,
CU,CU,18.0,
CU,PA,2.0,
CU,VE,3.0,
CU,AR,1.0,
CU,ES,2.0,
CU,BS,2.0,
CU,DO,2.0,
CU,RU,3.0,
CU,JM,1.0,
CU,AO,1.0,
CU,EC,1.0,
CU,NL,1.0,
CU,PE,2.0,
CU,CH,1.0,
CU,SV,1.0,
CU,GB,2.0,
CY,CH,3.0,
CY,TR,14.0,
CY,MD,1.0,
CY,GR,12.0,
CY,GB,50.0,
CY,AT,3.0,
CY,DE,8.0,
CY,FR,3.0,
CY,BY,1.0,
CY,LV,1.0,
CY,NL,3.0,
CY,AE,3.0,
CY,LB,2.0,
CY,RO,3.0,
CY,BG,4.0,
CY,RU,11.0,
CY,IL,3.0,
CY,SE,2.0,
CY,NO,1.0,
CY,MT,2.0,
CY,EG,2.0,
CY,BE,2.0,
CY,PL,2.0,
CY,LT,1.0,
CY,BH,1.0,
CY,RS,2.0,
CY,UA,5.0,
CY,QA,1.0,
CY,JO,1.0,
CY,IT,1.0,
CY,HU,1.0,
CZ,DE,14.0,
CZ,RU,24.0,
CZ,GR,5.0,
CZ,FR,16.0,
CZ,GB,16.0,
CZ,IT,19.0,
CZ,FI,3.0,
CZ,BY,2.0,
CZ,LV,2.0,
CZ,SE,5.0,
CZ,NO,3.0,
CZ,DK,4.0,
CZ,IE,2.0,
CZ,AE,2.0,
CZ,BG,2.0,
CZ,NL,5.0,
CZ,ES,16.0,
CZ,AZ,2.0,
CZ,SI,1.0,
CZ,RS,1.0,
CZ,KR,2.0,
CZ,MT,2.0,
CZ,PL,3.0,
CZ,LT,1.0,
CZ,CH,4.0,
CZ,IL,4.0,
CZ,CZ,4.0,
CZ,KZ,1.0,
CZ,BE,4.0,
CZ,SK,4.0,
CZ,HU,2.0,
CZ,RO,5.0,
CZ,AM,2.0,
CZ,UA,3.0,
CZ,UZ,1.0,
CZ,AT,1.0,
CZ,TR,2.0,
CZ,PT,2.0,
CZ,HR,1.0,
DJ,AE,4.0,
DJ,SA,1.0,
DJ,SO,5.0,
DJ,FR,1.0,
DJ,ET,5.0,
DJ,KE,2.0,
DJ,TR,1.0,
DM,AG,1.0,
DM,BB,1.0,
DO,AR,1.0,
DO,US,61.0,
DO,DE,7.0,
DO,CA,17.0,
DO,FR,10.0,
DO,DO,5.0,
DO,CO,3.0,
DO,PE,2.0,
DO,AG,4.0,
DO,IT,3.0,
DO,PA,4.0,
DO,CU,2.0,
DO,CR,1.0,
DO,BR,4.0,
DO,ES,5.0,
DO,VE,1.0,
DO,JM,2.0,
DO,CL,1.0,
DO,CH,1.0,
DO,HT,2.0,
DO,NL,1.0,
DO,RU,4.0,
DO,GB,1.0,
EC,CO,11.0,
EC,EC,55.0,
EC,US,8.0,
EC,NL,2.0,
EC,MX,1.0,
EC,PE,5.0,
EC,SV,2.0,
EC,PA,3.0,
EC,BR,1.0,
EC,CU,1.0,
EC,ES,4.0,
EC,VE,1.0,
EC,AR,1.0,
EC,CL,1.0,
EG,CH,10.0,
EG,IL,1.0,
EG,FR,5.0,
EG,LY,10.0,
EG,GR,4.0,
EG,DE,18.0,
EG,DZ,2.0,
EG,IN,2.0,
EG,MA,2.0,
EG,SA,57.0,
EG,IT,5.0,
EG,GB,34.0,
EG,CN,4.0,
EG,JO,5.0,
EG,KW,16.0,
EG,AE,11.0,
EG,ET,2.0,
EG,CY,2.0,
EG,BH,2.0,
EG,AT,6.0,
EG,NL,2.0,
EG,EG,39.0,
EG,LB,3.0,
EG,TH,3.0,
EG,NG,3.0,
EG,GH,1.0,
EG,ER,1.0,
EG,ES,2.0,
EG,IQ,2.0,
EG,BE,2.0,
EG,HU,1.0,
EG,ID,1.0,
EG,DK,2.0,
EG,TZ,1.0,
EG,RU,11.0,
EG,QA,4.0,
EG,UG,1.0,
EG,TR,8.0,
EG,US,2.0,
EG,ZA,2.0,
EG,SD,3.0,
EG,OM,2.0,
EG,KE,1.0,
EG,TN,2.0,
EG,CA,1.0,
SV,US,29.0,
SV,MX,3.0,
SV,CO,3.0,
SV,BZ,1.0,
SV,GT,1.0,
SV,EC,2.0,
SV,PE,1.0,
SV,CR,2.0,
SV,PA,2.0,
SV,HN,3.0,
SV,CA,1.0,
SV,ES,2.0,
SV,NI,2.0,
SV,CU,1.0,
GQ,CM,5.0,
GQ,MA,1.0,
GQ,GA,2.0,
GQ,BJ,2.0,
GQ,GQ,2.0,
GQ,ET,2.0,
GQ,ES,1.0,
GQ,NG,1.0,
ER,EG,1.0,
ER,SA,1.0,
ER,SD,1.0,
ER,KE,1.0,
ER,ER,1.0,
EE,FI,3.0,
EE,LV,1.0,
EE,NO,6.0,
EE,IT,1.0,
EE,DE,2.0,
EE,ES,1.0,
EE,GB,3.0,
EE,NL,2.0,
EE,PL,1.0,
EE,LT,3.0,
EE,SE,4.0,
EE,BE,2.0,
EE,DK,2.0,
EE,UA,1.0,
EE,RU,3.0,
EE,FR,1.0,
EE,HR,1.0,
EE,TR,1.0,
EE,GR,1.0,
EE,EE,2.0,
ET,SA,9.0,
ET,IN,4.0,
ET,CN,6.0,
ET,AE,3.0,
ET,NG,3.0,
ET,GH,1.0,
ET,ET,32.0,
ET,LB,1.0,
ET,TH,2.0,
ET,ML,2.0,
ET,EG,2.0,
ET,FR,1.0,
ET,BJ,1.0,
ET,TZ,3.0,
ET,CM,2.0,
ET,UG,2.0,
ET,IT,1.0,
ET,DE,2.0,
ET,SO,1.0,
ET,ZW,4.0,
ET,DJ,5.0,
ET,ZA,2.0,
ET,RW,2.0,
ET,SD,2.0,
ET,KW,2.0,
ET,AO,2.0,
ET,GA,1.0,
ET,TG,1.0,
ET,GB,1.0,
ET,MW,1.0,
ET,ZM,1.0,
ET,KE,6.0,
ET,OM,2.0,
ET,MZ,1.0,
ET,TD,1.0,
ET,NE,1.0,
ET,BF,1.0,
ET,GQ,2.0,
ET,IL,1.0,
ET,BH,1.0,
ET,QA,1.0,
ET,TR,1.0,
FJ,US,6.0,
FJ,FJ,28.0,
FJ,NZ,7.0,
FJ,AU,11.0,
FJ,KR,1.0,
FJ,PG,1.0,
FI,FI,56.0,
FI,SE,22.0,
FI,DE,19.0,
FI,US,4.0,
FI,GB,9.0,
FI,AT,2.0,
FI,CH,3.0,
FI,FR,6.0,
FI,ES,16.0,
FI,NL,3.0,
FI,TR,5.0,
FI,TH,1.0,
FI,BE,1.0,
FI,HU,3.0,
FI,CN,6.0,
FI,DK,4.0,
FI,HR,3.0,
FI,IN,1.0,
FI,RU,9.0,
FI,IT,5.0,
FI,KR,1.0,
FI,IS,2.0,
FI,JP,6.0,
FI,PL,5.0,
FI,PT,2.0,
FI,SI,1.0,
FI,BY,2.0,
FI,NO,3.0,
FI,CZ,3.0,
FI,LV,3.0,
FI,SG,1.0,
FI,EE,3.0,
FI,IL,1.0,
FI,LT,2.0,
FI,GR,2.0,
FI,BG,1.0,
FI,IE,1.0,
FI,UA,1.0,
GA,FR,1.0,
GA,MA,1.0,
GA,GQ,1.0,
GA,BJ,3.0,
GA,NG,2.0,
GA,ET,1.0,
GA,TG,1.0,
GA,CM,4.0,
GA,CI,1.0,
